outcome_id,supply_shift,demand_shift,equilibrium_price,equilibrium_quantity
EQ01,no change,no change,no change,no change
EQ02,no change,increase slightly,increase,increase
EQ03,no change,increase moderately,increase,increase
EQ04,no change,increase significantly,increase,increase
EQ05,no change,decrease slightly,decrease,decrease
EQ06,no change,decrease moderately,decrease,decrease
EQ07,no change,decrease significantly,decrease,decrease
EQ08,increase slightly,no change,decrease,increase
EQ09,increase moderately,no change,decrease,increase
EQ10,increase significantly,no change,decrease,increase
EQ11,decrease slightly,no change,increase,decrease
EQ12,decrease moderately,no change,increase,decrease
EQ13,decrease significantly,no change,increase,decrease
EQ14,increase slightly,increase slightly,ambiguous,increase
EQ15,increase slightly,increase moderately,increase,increase
EQ16,increase slightly,increase significantly,increase,increase
EQ17,increase moderately,increase slightly,decrease,increase
EQ18,increase moderately,increase moderately,ambiguous,increase
EQ19,increase moderately,increase significantly,increase,increase
EQ20,increase significantly,increase slightly,decrease,increase
EQ21,increase significantly,increase moderately,decrease,increase
EQ22,increase significantly,increase significantly,ambiguous,increase
EQ23,decrease slightly,decrease slightly,ambiguous,decrease
EQ24,decrease slightly,decrease moderately,decrease,decrease
EQ25,decrease slightly,decrease significantly,decrease,decrease
EQ26,decrease moderately,decrease slightly,increase,decrease
EQ27,decrease moderately,decrease moderately,ambiguous,decrease
EQ28,decrease moderately,decrease significantly,decrease,decrease
EQ29,decrease significantly,decrease slightly,increase,decrease
EQ30,decrease significantly,decrease moderately,increase,decrease
EQ31,decrease significantly,decrease significantly,ambiguous,decrease
EQ32,increase slightly,decrease slightly,decrease,ambiguous
EQ33,increase slightly,decrease moderately,decrease,decrease
EQ34,increase slightly,decrease significantly,decrease,decrease
EQ35,increase moderately,decrease slightly,decrease,ambiguous
EQ36,increase moderately,decrease moderately,decrease,ambiguous
EQ37,increase moderately,decrease significantly,decrease,decrease
EQ38,increase significantly,decrease slightly,decrease,ambiguous
EQ39,increase significantly,decrease moderately,decrease,ambiguous
EQ40,increase significantly,decrease significantly,decrease,ambiguous
EQ41,decrease slightly,increase slightly,increase,ambiguous
EQ42,decrease slightly,increase moderately,increase,increase
EQ43,decrease slightly,increase significantly,increase,increase
EQ44,decrease moderately,increase slightly,increase,ambiguous
EQ45,decrease moderately,increase moderately,increase,ambiguous
EQ46,decrease moderately,increase significantly,increase,increase
EQ47,decrease significantly,increase slightly,increase,ambiguous
EQ48,decrease significantly,increase moderately,increase,ambiguous
EQ49,decrease significantly,increase significantly,increase,ambiguous
