commodity_name,factor_id_right
"Natural gas, Index",F21
Lamb,F08
Plywood,F21
"Sawnwood, Africa",F02
Cocoa,F20
"Natural gas, Index",F02
Lamb,F04
Shrimp,F02
"Sawnwood, Africa",F04
"Natural gas, Index",F04
Lamb,F16
Shrimp,F20
"Sawnwood, Africa",F16
"Natural gas, Index",F14
Lamb,F14
Shrimp,F04
"Sawnwood, Africa",F21
Soybeans,F08
"Liquefied natural gas, Japan",F20
Iron ore,F04
"Rice, Vietnam 5%",F08
Plywood,F16
"Sugar, EU",F02
Soybeans,F17
"Rice, Vietnam 5%",F02
Shrimp,F21
"Rubber, TSR20",F04
"Natural gas, Index",F16
Copper,F02
"Rice, Vietnam 5%",F04
Shrimp,F16
"Rubber, TSR20",F21
Copper,F16
Soybeans,F09
"Rice, Vietnam 5%",F21
"Rice, Thailand A1",F08
"Sugar, EU",F20
"Rubber, TSR20",F14
Soybeans,F02
"Rice, Vietnam 5%",F09
"Rice, Thailand A1",F02
"Bananas, U.S.",F08
Soybeans,F21
Fish meal,F04
"Rice, Thailand A1",F12
"Bananas, U.S.",F16
Soybeans,F20
"Urea, E. Europe",F08
"Crude oil, WTI",F08
Fish meal,F02
"Rice, Thailand 5%",F02
"Rice, Thailand A1",F21
"Logs, S.E. Asia",F08
Soybeans,F04
Fish meal,F20
"Coal, South Africa",F08
"Logs, S.E. Asia",F02
Palm oil,F08
Fish meal,F12
"Rice, Thailand A1",F04
"Logs, S.E. Asia",F20
Palm oil,F02
Beef,F08
"Rice, Thailand A1",F16
"Logs, S.E. Asia",F16
Soybeans,F16
Beef,F02
"Coal, South Africa",F02
Oranges,F08
Palm oil,F20
Fish meal,F16
"Coal, South Africa",F09
Oranges,F04
Palm oil,F21
Beef,F20
"Coal, South Africa",F04
Oranges,F20
Palm oil,F04
Beef,F14
"Coal, South Africa",F21
Oranges,F12
Palm oil,F16
Beef,F12
Zinc,F08
Oranges,F02
"Crude oil, Brent",F08
"Crude oil, average",F21
Beef,F21
"Coal, South Africa",F20
Platinum,F08
"Crude oil, Brent",F02
Beef,F16
Zinc,F12
Oranges,F16
"Crude oil, Brent",F12
"Sugar, U.S.",F02
Soybean oil,F08
Platinum,F12
"Crude oil, Brent",F04
Beef,F04
Zinc,F16
Platinum,F02
Gold,F17
"Sugar, U.S.",F20
"Crude oil, WTI",F20
Soybean oil,F02
Platinum,F04
"Crude oil, Brent",F16
"Sugar, U.S.",F04
Soybean oil,F21
Platinum,F21
Gold,F02
"Sawnwood, S.E. Asia",F08
Soybean oil,F04
"Crude oil, average",F04
Platinum,F20
Gold,F04
"Sugar, U.S.",F16
Soybean oil,F12
Groundnut oil,F08
"Coal, Australia",F08
"Sawnwood, S.E. Asia",F02
Phosphate rock,F08
Platinum,F16
"Coal, Australia",F02
"Sawnwood, S.E. Asia",F20
Soybean oil,F06
Groundnut oil,F02
"Coal, Australia",F21
