commodity_name,factor_id
Gold,F19
Gold,F07
Aluminum,F09
Aluminum,F02
Aluminum,F01
Aluminum,F05
Aluminum,F19
Aluminum,F15
Aluminum,F23
"Crude oil, Brent",F04
Aluminum,F21
Aluminum,F24
Aluminum,F06
Aluminum,F16
Aluminum,F20
Aluminum,F04
Aluminum,F08
Aluminum,F12
"Crude oil, Brent",F08
"Crude oil, Brent",F02
"Crude oil, Brent",F20
"Crude oil, Brent",F12
"Crude oil, Brent",F17
"Crude oil, Brent",F19
"Crude oil, Brent",F06
"Crude oil, Brent",F23
"Crude oil, Brent",F21
"Crude oil, Brent",F15
"Crude oil, Brent",F16
Gold,F20
Gold,F08
Gold,F17
Gold,F02
Gold,F21
Gold,F16
Gold,F04
"Tea, average",F02
"Tea, average",F20
"Tea, average",F08
"Tea, average",F21
"Tea, average",F22
"Tea, average",F19
"Tea, average",F16
"Tea, average",F15
"Tea, average",F13
"Tea, average",F12
"Tea, average",F10
"Natural gas, Europe",F04
"Natural gas, Europe",F08
"Natural gas, Europe",F20
"Natural gas, Europe",F02
"Natural gas, Europe",F12
"Natural gas, Europe",F06
"Natural gas, Europe",F19
"Natural gas, Europe",F16
"Natural gas, Europe",F21
"Wheat, U.S., HRW",F08
"Wheat, U.S., HRW",F12
"Wheat, U.S., HRW",F02
"Wheat, U.S., HRW",F19
"Wheat, U.S., HRW",F04
"Wheat, U.S., HRW",F17
"Wheat, U.S., HRW",F21
