commodity_name,factor_id_right
"Wheat, U.S., HRW",F08
"Natural gas, Europe",F02
"Natural gas, Europe",F08
"Crude oil, Brent",F19
"Natural gas, Europe",F06
"Wheat, U.S., HRW",F04
"Natural gas, Europe",F20
"Natural gas, Europe",F04
"Wheat, U.S., HRW",F19
"Crude oil, Brent",F12
"Crude oil, Brent",F20
"Crude oil, Brent",F21
"Crude oil, Brent",F04
"Wheat, U.S., HRW",F21
"Crude oil, Brent",F08
"Natural gas, Europe",F12
"Wheat, U.S., HRW",F06
"Natural gas, Europe",F24
"Wheat, U.S., HRW",F12
"Wheat, U.S., HRW",F02
"Crude oil, Brent",F06
"Natural gas, Europe",F21
"Natural gas, Europe",F16
"Crude oil, Brent",F02
