commodity_name,factor_id_right
"Wheat, U.S., HRW",F09
"Natural gas, Europe",F02
Gold,F17
"Wheat, U.S., HRW",F08
"Wheat, U.S., HRW",F13
Gold,F13
Aluminum,F02
Gold,F12
"Crude oil, Brent",F04
"Wheat, U.S., HRW",F15
Aluminum,F12
Aluminum,F04
"Crude oil, Brent",F23
"Wheat, U.S., HRW",F23
"Natural gas, Europe",F13
"Wheat, U.S., HRW",F06
"Crude oil, Brent",F08
"Crude oil, Brent",F13
"Crude oil, Brent",F17
Gold,F02
Gold,F04
Gold,F19
"Wheat, U.S., HRW",F17
Aluminum,F08
"Crude oil, Brent",F21
"Crude oil, Brent",F15
Aluminum,F06
Gold,F06
"Natural gas, Europe",F12
Gold,F21
"Wheat, U.S., HRW",F12
"Natural gas, Europe",F06
Aluminum,F19
"Wheat, U.S., HRW",F21
"Crude oil, Brent",F12
"Wheat, U.S., HRW",F02
"Natural gas, Europe",F08
"Natural gas, Europe",F04
Aluminum,F17
"Natural gas, Europe",F23
"Natural gas, Europe",F21
"Wheat, U.S., HRW",F04
"Crude oil, Brent",F19
"Crude oil, Brent",F02
Gold,F08
"Natural gas, Europe",F19
Aluminum,F21
"Natural gas, Europe",F17
Gold,F15
"Crude oil, Brent",F06
"Tea, average",F17
"Wheat, U.S., HRW",F19
