commodity_name,factor_id_right
Aluminum,F20
"Natural gas, Europe",F16
"Crude oil, Brent",F04
"Crude oil, Brent",F11
"Wheat, U.S., HRW",F02
Aluminum,F21
"Crude oil, Brent",F08
"Natural gas, Europe",F20
Gold,F17
Aluminum,F02
"Natural gas, Europe",F08
"Natural gas, Europe",F04
Gold,F21
"Crude oil, Brent",F06
"Wheat, U.S., HRW",F21
"Crude oil, Brent",F14
"Crude oil, Brent",F12
"Tea, average",F20
Aluminum,F04
"Crude oil, Brent",F20
"Crude oil, Brent",F02
"Wheat, U.S., HRW",F07
Aluminum,F08
"Tea, average",F16
"Crude oil, Brent",F21
"Natural gas, Europe",F21
Aluminum,F12
"Tea, average",F12
Gold,F02
"Tea, average",F21
"Natural gas, Europe",F11
Gold,F16
"Wheat, U.S., HRW",F11
Aluminum,F14
"Tea, average",F24
Gold,F04
"Crude oil, Brent",F16
"Tea, average",F14
"Tea, average",F02
"Tea, average",F08
Aluminum,F16
