commodity_name,factor_id_right
"Wheat, U.S., HRW",F20
"Crude oil, Brent",F19
Gold,F13
"Wheat, U.S., HRW",F16
"Tea, average",F02
Aluminum,F02
"Crude oil, Brent",F06
"Wheat, U.S., HRW",F08
"Wheat, U.S., HRW",F19
"Wheat, U.S., HRW",F02
"Natural gas, Europe",F19
"Natural gas, Europe",F21
Gold,F20
"Crude oil, Brent",F02
"Tea, average",F04
"Wheat, U.S., HRW",F21
"Wheat, U.S., HRW",F04
"Crude oil, Brent",F20
Gold,F04
"Tea, average",F16
"Natural gas, Europe",F04
"Natural gas, Europe",F02
"Natural gas, Europe",F16
"Natural gas, Europe",F22
Aluminum,F12
"Tea, average",F08
"Crude oil, Brent",F08
"Wheat, U.S., HRW",F06
Gold,F08
"Wheat, U.S., HRW",F13
Aluminum,F20
Aluminum,F04
"Crude oil, Brent",F12
"Natural gas, Europe",F09
"Natural gas, Europe",F20
"Crude oil, Brent",F04
Gold,F16
Aluminum,F16
"Natural gas, Europe",F12
Gold,F02
"Natural gas, Europe",F08
"Crude oil, Brent",F16
Aluminum,F08
