commodity_name,factor_id_right
"Urea, E. Europe",F13
"Crude oil, WTI",F10
TSP,F04
Groundnuts,F20
Phosphate rock,F04
Groundnuts,F04
Coconut oil,F06
"Bananas, U.S.",F20
Nickel,F20
Soybean meal,F20
Cocoa,F13
"Sawnwood, S.E. Asia",F16
Phosphate rock,F20
"Sawnwood, Africa",F08
Iron ore,F04
Groundnut oil,F04
Palmkernel oil,F21
Beef,F20
Sorghum,F20
"Rice, Vietnam 5%",F04
"Crude oil, WTI",F12
Chicken,F14
Palmkernel oil,F02
Potassium chloride,F16
Sorghum,F06
"Urea, E. Europe",F20
Palmkernel oil,F16
TSP,F06
Beef,F16
Palmkernel oil,F08
Barley,F06
Cocoa,F16
Barley,F16
Coconut oil,F08
Coconut oil,F04
"Sugar, EU",F04
"Crude oil, WTI",F20
Oranges,F20
Coconut oil,F20
Phosphate rock,F16
Aluminum,F20
"Sugar, EU",F16
Groundnut oil,F02
Aluminum,F12
Lead,F10
Cocoa,F20
TSP,F20
Potassium chloride,F04
Palmkernel oil,F20
"Coal, South Africa",F02
Beef,F21
Aluminum,F16
"Coal, South Africa",F08
Sorghum,F08
"Crude oil, WTI",F02
"Tea, average",F16
"Crude oil, WTI",F16
Aluminum,F02
TSP,F16
Beef,F08
Shrimp,F08
"Urea, E. Europe",F04
Barley,F08
Soybean meal,F02
"Crude oil, WTI",F04
Aluminum,F14
"Sawnwood, Africa",F16
"Crude oil, WTI",F08
TSP,F15
DAP,F19
"Liquefied natural gas, Japan",F16
"Rice, Thailand 25%",F04
Barley,F12
Cocoa,F02
"Crude oil, average",F04
Beef,F02
Potassium chloride,F20
Soybean meal,F06
"Rubber, TSR20",F06
Oranges,F02
"Wheat, U.S., HRW",F12
Beef,F04
DAP,F09
"Rice, Thailand 25%",F20
Oranges,F08
Chicken,F04
"Logs, S.E. Asia",F16
Platinum,F16
Platinum,F20
"Rice, Vietnam 5%",F08
"Sugar, EU",F12
Soybeans,F20
"Tea, Colombo",F15
"Coffee, Arabica",F20
Platinum,F02
Barley,F04
"Wheat, U.S., HRW",F20
Chicken,F16
"Coffee, Arabica",F16
"Rice, Vietnam 5%",F02
"Tea, Colombo",F16
"Coffee, Arabica",F08
"Rubber, TSR20",F24
"Rubber, TSR20",F21
TSP,F02
"Rubber, RSS3",F21
Soybean meal,F13
"Rice, Vietnam 5%",F16
Cotton,F08
Chicken,F20
Shrimp,F22
"Bananas, U.S.",F02
Groundnuts,F08
"Rice, Vietnam 5%",F20
Soybean meal,F19
"Sawnwood, Africa",F02
"Sugar, U.S.",F02
"Rubber, TSR20",F20
Nickel,F19
Chicken,F02
Aluminum,F06
Aluminum,F08
"Coffee, Arabica",F04
"Rubber, TSR20",F16
Aluminum,F19
"Wheat, U.S., HRW",F08
"Crude oil, average",F02
Oranges,F04
DAP,F02
"Rubber, TSR20",F22
Cocoa,F04
Nickel,F16
"Rice, Vietnam 5%",F21
DAP,F08
DAP,F20
"Rubber, TSR20",F02
"Rubber, RSS3",F02
Groundnut oil,F08
"Crude oil, average",F16
Soybean meal,F16
"Wheat, U.S., HRW",F16
Shrimp,F04
Zinc,F02
"Rubber, TSR20",F08
Groundnut oil,F14
DAP,F04
"Sugar, U.S.",F08
Palm oil,F20
Phosphate rock,F02
"Natural gas, Europe",F04
Iron ore,F12
Soybeans,F08
"Liquefied natural gas, Japan",F02
Soybeans,F02
Zinc,F12
"Crude oil, Brent",F16
"Rubber, RSS3",F16
"Bananas, U.S.",F16
"Rubber, RSS3",F20
"Tea, Mombasa",F04
Nickel,F04
"Crude oil, Brent",F08
"Sugar, U.S.",F16
"Wheat, U.S., HRW",F04
Oranges,F16
Zinc,F20
Sorghum,F02
Iron ore,F20
"Crude oil, average",F19
"Crude oil, Brent",F04
Phosphate rock,F08
"Tea, Mombasa",F08
Zinc,F08
"Liquefied natural gas, Japan",F08
"Tea, Mombasa",F16
Oranges,F14
"Coffee, Arabica",F02
DAP,F12
Copper,F02
"Wheat, U.S., HRW",F07
"Rubber, RSS3",F04
"Crude oil, Brent",F20
Zinc,F04
DAP,F22
"Wheat, U.S., HRW",F19
Plywood,F08
"Wheat, U.S., HRW",F02
Nickel,F02
Soybeans,F04
Palm oil,F21
"Sugar, EU",F20
"Tea, Mombasa",F15
Phosphate rock,F21
Shrimp,F02
"Wheat, U.S., HRW",F15
Lead,F04
"Tea, average",F08
Soybeans,F16
Zinc,F16
Phosphate rock,F19
"Sugar, EU",F06
Chicken,F06
"Natural gas, Index",F12
Lead,F20
Sorghum,F12
"Sawnwood, S.E. Asia",F08
"Natural gas, Index",F02
"Rice, Thailand 25%",F21
Potassium chloride,F02
Potassium chloride,F08
Nickel,F08
"Natural gas, Index",F16
"Wheat, U.S., SRW",F06
"Wheat, U.S., SRW",F08
Chicken,F08
Plywood,F16
TSP,F19
Iron ore,F02
"Natural gas, Index",F04
Plywood,F02
TSP,F08
"Sugar, U.S.",F04
"Sugar, EU",F02
Shrimp,F16
"Sugar, EU",F08
"Wheat, U.S., SRW",F12
Soybean meal,F08
Palm oil,F08
"Wheat, U.S., SRW",F16
Barley,F20
Barley,F02
"Natural gas, Index",F08
"Tea, Colombo",F20
Iron ore,F16
"Natural gas, Index",F20
Palm oil,F04
"Wheat, U.S., SRW",F19
Gold,F04
Plywood,F12
"Wheat, U.S., SRW",F20
TSP,F13
"Rice, Thailand 25%",F02
TSP,F12
Sorghum,F10
"Coffee, Robusta",F08
"Logs, S.E. Asia",F08
Sorghum,F19
Copper,F20
Plywood,F14
Copper,F08
"Coffee, Robusta",F04
Copper,F04
"Coffee, Robusta",F02
Copper,F16
TSP,F14
"Logs, S.E. Asia",F20
"Coffee, Arabica",F21
"Sawnwood, S.E. Asia",F20
Cotton,F04
"Coffee, Arabica",F13
Iron ore,F08
Barley,F21
Cotton,F02
Groundnut oil,F16
"Rice, Thailand 25%",F08
Chicken,F12
"Tea, average",F04
"Coal, South Africa",F16
"Coffee, Robusta",F21
Fish meal,F04
Cotton,F16
"Coal, South Africa",F19
Groundnuts,F02
Cotton,F06
Aluminum,F04
"Sugar, U.S.",F20
Cotton,F13
"Coal, South Africa",F21
Fish meal,F02
Cotton,F20
"Coal, South Africa",F04
Fish meal,F14
Fish meal,F08
Sorghum,F16
"Rubber, TSR20",F04
Shrimp,F20
"Coal, South Africa",F13
"Coffee, Robusta",F06
Sorghum,F04
"Coal, South Africa",F20
Phosphate rock,F22
Palm oil,F16
Aluminum,F21
Plywood,F13
Platinum,F04
Potassium chloride,F19
Fish meal,F16
Plywood,F20
Palm oil,F02
Soybeans,F22
"Coffee, Robusta",F20
Plywood,F04
"Tea, Colombo",F04
"Coffee, Robusta",F16
"Coal, Australia",F21
Maize,F08
"Tea, Kolkata",F08
"Crude oil, average",F20
"Rice, Thailand A1",F20
"Tea, average",F20
"Natural gas, Europe",F15
"Coal, Australia",F16
"Coal, Australia",F19
"Urea, E. Europe",F16
"Rice, Thailand A1",F15
"Bananas, EU",F08
"Tea, average",F14
"Bananas, EU",F02
"Liquefied natural gas, Japan",F19
"Coal, Australia",F02
"Coal, Australia",F04
"Bananas, EU",F20
"Rice, Thailand 5%",F04
Lamb,F06
"Wheat, U.S., SRW",F21
"Rice, Thailand 5%",F13
"Coal, Australia",F20
"Crude oil, Dubai",F16
"Sugar, World",F19
Tin,F08
Lead,F02
"Sugar, World",F08
Soybean oil,F16
Maize,F21
"Natural gas, Europe",F08
"Tea, Kolkata",F20
Soybean oil,F20
"Rice, Thailand A1",F13
"Logs, Africa",F16
Silver,F08
Maize,F10
"Natural gas, U.S.",F04
Lamb,F08
Silver,F02
"Urea, E. Europe",F02
"Natural gas, U.S.",F19
"Bananas, U.S.",F04
"Natural gas, U.S.",F12
Soybean oil,F04
"Natural gas, U.S.",F08
"Natural gas, Europe",F12
"Bananas, EU",F04
Lamb,F02
"Rice, Thailand A1",F04
"Natural gas, U.S.",F20
"Liquefied natural gas, Japan",F20
"Logs, Africa",F14
"Crude oil, average",F12
"Rice, Thailand 5%",F20
"Rice, Thailand A1",F21
"Urea, E. Europe",F19
Lamb,F12
"Natural gas, U.S.",F02
Silver,F04
Lamb,F16
"Bananas, EU",F21
"Crude oil, Dubai",F02
"Tea, Kolkata",F16
"Natural gas, Europe",F21
"Crude oil, Dubai",F21
Soybean meal,F04
Lamb,F14
"Natural gas, Europe",F02
Coconut oil,F16
"Sugar, World",F12
"Logs, Africa",F02
Maize,F19
Lead,F16
Lead,F08
Maize,F06
"Liquefied natural gas, Japan",F04
Soybean oil,F02
"Sugar, World",F16
Maize,F16
Maize,F20
Maize,F12
Tin,F20
"Urea, E. Europe",F21
"Crude oil, average",F08
Tin,F04
"Urea, E. Europe",F14
"Liquefied natural gas, Japan",F13
"Urea, E. Europe",F06
"Urea, E. Europe",F08
Lead,F12
"Crude oil, Dubai",F20
"Rice, Thailand 25%",F09
"Crude oil, Dubai",F08
"Natural gas, Europe",F16
"Coal, Australia",F12
"Crude oil, Dubai",F04
Maize,F04
Soybean oil,F06
"Sugar, World",F06
"Natural gas, Europe",F20
Soybean oil,F12
"Rice, Thailand A1",F16
Soybean oil,F08
"Wheat, U.S., SRW",F13
Soybean oil,F14
"Sugar, World",F20
"Natural gas, Europe",F19
Groundnuts,F16
"Urea, E. Europe",F12
"Sugar, World",F14
"Sugar, World",F02
"Bananas, EU",F16
Maize,F02
