commodity_name,factor_id_right
"Rice, Thailand A1",F20
"Rice, Thailand A1",F04
"Natural gas, Europe",F16
"Natural gas, Europe",F12
"Natural gas, Europe",F17
"Natural gas, Europe",F22
"Natural gas, Europe",F09
"Bananas, EU",F06
Iron ore,F08
"Sugar, U.S.",F20
Tin,F04
"Natural gas, Europe",F20
"Natural gas, Europe",F02
"Rice, Thailand A1",F08
Soybeans,F13
"Natural gas, Europe",F10
"Coffee, Robusta",F08
Fish meal,F20
"Natural gas, Europe",F04
"Rice, Thailand A1",F16
Iron ore,F02
Soybeans,F02
"Tea, average",F08
"Sawnwood, Africa",F20
Platinum,F04
Nickel,F08
"Natural gas, Europe",F21
"Sawnwood, Africa",F13
Gold,F02
"Coffee, Robusta",F04
Oranges,F08
Iron ore,F12
Oranges,F20
"Urea, E. Europe",F02
Oranges,F02
DAP,F04
DAP,F22
Soybean oil,F02
Iron ore,F16
DAP,F02
"Rubber, TSR20",F20
"Bananas, EU",F16
"Urea, E. Europe",F08
Cotton,F04
"Sugar, World",F20
Platinum,F16
Cotton,F20
"Sugar, World",F04
Cotton,F02
"Natural gas, Index",F12
"Wheat, U.S., SRW",F12
Lead,F02
"Urea, E. Europe",F21
DAP,F10
Soybeans,F20
DAP,F20
Beef,F16
DAP,F16
"Coal, Australia",F12
"Crude oil, Dubai",F20
DAP,F21
Soybeans,F19
"Urea, E. Europe",F04
"Coal, Australia",F13
Tin,F02
"Urea, E. Europe",F20
Tin,F16
Iron ore,F20
Cocoa,F16
"Bananas, EU",F08
"Coal, Australia",F02
Fish meal,F16
"Tea, average",F02
"Sawnwood, Africa",F02
"Coal, Australia",F20
"Coal, Australia",F16
Platinum,F20
Soybean oil,F16
"Coal, Australia",F08
"Urea, E. Europe",F16
"Coal, Australia",F22
Gold,F17
Lead,F20
"Sawnwood, Africa",F16
DAP,F19
Platinum,F21
"Crude oil, Dubai",F02
Platinum,F19
"Crude oil, Dubai",F16
"Crude oil, Dubai",F21
"Rice, Vietnam 5%",F06
"Rubber, TSR20",F13
"Rubber, TSR20",F04
Fish meal,F12
Nickel,F06
"Crude oil, Dubai",F04
"Crude oil, Dubai",F08
Cotton,F08
"Natural gas, Index",F04
Oranges,F14
"Wheat, U.S., SRW",F04
"Sugar, World",F02
"Sugar, World",F08
Tin,F20
Oranges,F04
Iron ore,F13
Platinum,F08
"Sugar, World",F16
DAP,F08
Cotton,F16
"Tea, average",F20
"Bananas, EU",F20
"Urea, E. Europe",F19
Nickel,F12
Iron ore,F04
"Tea, average",F16
Phosphate rock,F21
"Crude oil, Dubai",F12
"Natural gas, Europe",F08
"Natural gas, Europe",F19
TSP,F08
Phosphate rock,F12
Barley,F19
Phosphate rock,F08
"Natural gas, Index",F14
"Crude oil, Brent",F12
"Natural gas, U.S.",F19
"Crude oil, average",F02
Silver,F12
Barley,F06
Shrimp,F04
Phosphate rock,F02
Phosphate rock,F16
Coconut oil,F19
"Liquefied natural gas, Japan",F04
"Wheat, U.S., SRW",F20
"Rice, Vietnam 5%",F04
Oranges,F16
"Bananas, EU",F04
"Crude oil, average",F22
TSP,F15
Aluminum,F04
Groundnuts,F16
Oranges,F13
Copper,F16
"Liquefied natural gas, Japan",F20
Aluminum,F06
"Tea, Kolkata",F20
Barley,F02
Potassium chloride,F16
Barley,F21
TSP,F20
Gold,F19
Soybean oil,F09
"Natural gas, U.S.",F21
Cocoa,F08
Palm oil,F08
"Sugar, U.S.",F02
"Liquefied natural gas, Japan",F16
Phosphate rock,F20
Zinc,F20
"Wheat, U.S., HRW",F20
TSP,F13
"Sawnwood, S.E. Asia",F23
"Sawnwood, S.E. Asia",F16
Aluminum,F08
"Crude oil, average",F08
Plywood,F20
Chicken,F04
Sorghum,F19
Groundnuts,F08
