commodity_name,event_id
"Coal, South Africa",E06
"Coffee, Robusta",E13
Lamb,E06
Beef,E19
"Rubber, RSS3",E19
"Coffee, Arabica",E04
Iron ore,E17
Coconut oil,E13
Aluminum,E17
"Coffee, Arabica",E06
Lead,E22
Chicken,E07
"Bananas, EU",E03
Beef,E24
"Rice, Thailand 25%",E12
"Rice, Thailand A1",E03
DAP,E07
"Logs, S.E. Asia",E13
Maize,E05
Barley,E24
"Crude oil, Dubai",E07
Coconut oil,E17
Gold,E20
"Bananas, EU",E06
Lamb,E03
"Coffee, Robusta",E22
Plywood,E20
"Coffee, Arabica",E24
"Coffee, Robusta",E02
Potassium chloride,E06
Maize,E07
Phosphate rock,E14
"Rubber, RSS3",E15
Aluminum,E19
"Bananas, U.S.",E04
"Bananas, U.S.",E06
Iron ore,E24
"Rubber, RSS3",E24
DAP,E08
"Rice, Thailand A1",E13
"Crude oil, average",E19
"Crude oil, average",E24
Lead,E19
Palm oil,E13
"Rice, Thailand A1",E08
Palm oil,E19
"Logs, S.E. Asia",E24
Iron ore,E22
Potassium chloride,E14
"Coal, Australia",E17
"Coal, South Africa",E08
"Crude oil, Brent",E07
Barley,E10
Maize,E03
Phosphate rock,E19
Cocoa,E06
"Rice, Thailand A1",E14
"Tea, average",E19
"Crude oil, Brent",E03
Fish meal,E05
Aluminum,E22
"Bananas, EU",E13
Barley,E11
DAP,E17
DAP,E24
"Rice, Thailand A1",E19
Fish meal,E07
Chicken,E19
Coconut oil,E19
Barley,E17
"Rice, Thailand 25%",E06
Plywood,E03
"Logs, Africa",E15
Aluminum,E24
"Rice, Thailand 25%",E22
Maize,E08
Cotton,E07
"Crude oil, average",E08
Copper,E22
Potassium chloride,E24
"Crude oil, Brent",E02
"Coal, South Africa",E09
"Crude oil, Dubai",E18
"Rice, Thailand 25%",E03
Groundnuts,E19
Groundnut oil,E03
"Rice, Thailand 25%",E20
Barley,E08
"Tea, average",E03
"Logs, S.E. Asia",E06
Potassium chloride,E17
"Coffee, Robusta",E06
"Crude oil, average",E09
"Rice, Thailand A1",E24
"Bananas, U.S.",E19
Groundnuts,E14
Groundnut oil,E19
Maize,E14
"Bananas, U.S.",E07
"Rice, Thailand 5%",E06
"Crude oil, average",E03
Iron ore,E15
Beef,E06
Cocoa,E19
Barley,E13
Phosphate rock,E24
Cotton,E06
DAP,E14
Maize,E24
"Crude oil, Dubai",E19
Palm oil,E24
Cotton,E19
Maize,E19
"Bananas, EU",E04
"Crude oil, Brent",E17
Barley,E07
Lamb,E24
DAP,E19
Phosphate rock,E08
"Crude oil, Dubai",E17
Maize,E06
Plywood,E06
"Bananas, U.S.",E03
Plywood,E19
Plywood,E24
Aluminum,E15
Groundnut oil,E06
"Crude oil, Brent",E24
Potassium chloride,E03
Potassium chloride,E08
"Coffee, Arabica",E03
"Rice, Thailand 5%",E24
Iron ore,E19
"Coal, Australia",E09
"Rice, Thailand A1",E12
Cotton,E24
Maize,E17
"Crude oil, average",E18
"Crude oil, Dubai",E06
Maize,E13
Cotton,E10
"Coal, Australia",E06
"Coffee, Robusta",E19
"Rice, Thailand 5%",E16
"Coal, Australia",E23
Groundnuts,E06
Copper,E23
"Crude oil, Dubai",E24
Barley,E19
"Crude oil, average",E02
"Coal, South Africa",E24
"Rice, Thailand 5%",E12
Barley,E06
Barley,E01
Groundnuts,E24
"Tea, average",E10
Coconut oil,E22
"Rice, Thailand 25%",E13
Cocoa,E24
"Bananas, EU",E24
"Tea, average",E06
"Rice, Thailand A1",E01
"Bananas, EU",E19
Copper,E21
Barley,E03
"Coffee, Robusta",E04
Potassium chloride,E19
Cocoa,E16
Iron ore,E08
"Coal, South Africa",E17
"Rice, Thailand 5%",E22
"Crude oil, Brent",E01
Chicken,E24
"Coal, Australia",E03
"Bananas, EU",E10
"Rice, Thailand 25%",E16
"Coffee, Arabica",E19
"Rubber, RSS3",E20
"Bananas, U.S.",E24
Fish meal,E13
"Crude oil, average",E07
"Coffee, Robusta",E16
"Crude oil, Brent",E19
"Coal, South Africa",E03
Platinum,E01
"Coal, Australia",E13
"Tea, average",E24
Barley,E14
Copper,E20
Coconut oil,E03
Chicken,E03
Aluminum,E06
"Logs, Africa",E24
"Coffee, Arabica",E13
"Crude oil, Brent",E18
Gold,E08
"Crude oil, Brent",E08
Maize,E20
"Coffee, Robusta",E24
Maize,E04
"Rice, Thailand A1",E11
"Logs, Africa",E19
"Crude oil, Dubai",E03
"Crude oil, Dubai",E15
"Tea, average",E16
"Crude oil, average",E15
"Crude oil, Brent",E10
Chicken,E06
Coconut oil,E06
"Crude oil, average",E17
"Crude oil, Dubai",E09
"Coal, Australia",E24
Maize,E22
Gold,E18
"Rice, Thailand A1",E06
Coconut oil,E24
"Logs, Africa",E03
"Coffee, Arabica",E16
"Rice, Thailand A1",E20
Groundnut oil,E24
Groundnuts,E13
"Coal, South Africa",E23
Cotton,E20
"Rice, Thailand 25%",E24
Palm oil,E06
"Bananas, U.S.",E13
Maize,E11
Fish meal,E19
"Crude oil, Brent",E09
Maize,E01
"Crude oil, Dubai",E08
Fish meal,E24
"Bananas, U.S.",E16
Cocoa,E13
"Rubber, RSS3",E06
