commodity_name,factor_id
Maize,F04
TSP,F04
"Natural gas, Index",F24
Fish meal,F02
Phosphate rock,F02
Fish meal,F21
"Crude oil, Dubai",F04
Platinum,F04
"Crude oil, Brent",F19
Silver,F20
"Tea, average",F16
"Sawnwood, Africa",F02
Aluminum,F12
Potassium chloride,F12
"Coal, South Africa",F17
"Natural gas, Europe",F11
"Sawnwood, Africa",F21
"Coal, South Africa",F11
"Wheat, U.S., HRW",F19
Palm oil,F02
"Natural gas, Index",F11
"Natural gas, Index",F20
Lead,F02
"Sugar, World",F12
Palm oil,F21
"Rice, Vietnam 5%",F19
Cotton,F02
Nickel,F02
Silver,F19
"Rice, Thailand A1",F02
Cotton,F21
"Tea, Colombo",F16
Phosphate rock,F04
Oranges,F16
"Rice, Thailand A1",F21
"Coffee, Arabica",F20
"Sugar, U.S.",F12
Gold,F17
"Tea, Kolkata",F20
"Crude oil, Dubai",F11
"Crude oil, WTI",F02
"Natural gas, U.S.",F11
Platinum,F20
"Crude oil, Dubai",F02
"Crude oil, WTI",F21
"Tea, average",F02
"Natural gas, U.S.",F02
Beef,F02
Copper,F02
Tin,F02
"Crude oil, Dubai",F21
"Natural gas, U.S.",F21
Beef,F21
"Tea, Mombasa",F20
Copper,F21
"Natural gas, Europe",F12
Nickel,F04
"Liquefied natural gas, Japan",F11
Lamb,F02
"Natural gas, Index",F12
Gold,F19
Lamb,F21
"Liquefied natural gas, Japan",F02
DAP,F12
"Bananas, EU",F02
"Coffee, Robusta",F16
"Liquefied natural gas, Japan",F21
Soybeans,F02
"Tea, Colombo",F02
Oranges,F02
Barley,F12
Soybean meal,F02
Soybeans,F21
Iron ore,F02
"Crude oil, WTI",F04
Soybean meal,F21
Cocoa,F02
Zinc,F02
Maize,F12
Soybean oil,F02
TSP,F12
"Sawnwood, Africa",F20
Soybean oil,F21
"Crude oil, average",F02
"Crude oil, Dubai",F12
Platinum,F12
Groundnut oil,F02
"Crude oil, average",F21
"Natural gas, Europe",F20
Coconut oil,F02
Groundnut oil,F21
"Crude oil, WTI",F24
Coconut oil,F21
"Crude oil, Dubai",F24
"Natural gas, U.S.",F24
Lead,F20
"Sawnwood, S.E. Asia",F12
Nickel,F20
"Rubber, RSS3",F02
Shrimp,F16
"Coal, Australia",F11
"Coffee, Robusta",F02
"Rubber, RSS3",F21
Iron ore,F04
"Coal, Australia",F02
"Natural gas, Europe",F19
"Urea, E. Europe",F02
