commodity_name,event_id
"Coffee, Arabica",E24
Cocoa,E13
Lead,E02
"Crude oil, Brent",E09
Gold,E20
Iron ore,E15
"Coal, Australia",E08
"Coal, Australia",E15
Aluminum,E02
"Coal, Australia",E01
Cotton,E07
Iron ore,E10
Beef,E04
Iron ore,E02
DAP,E14
"Coal, Australia",E02
Aluminum,E17
"Rice, Thailand 25%",E13
Lamb,E06
Palm oil,E08
Platinum,E02
Iron ore,E20
Gold,E01
"Crude oil, average",E08
"Crude oil, average",E15
Phosphate rock,E14
"Coal, South Africa",E01
Maize,E08
"Crude oil, average",E01
DAP,E08
Groundnuts,E06
"Coal, South Africa",E03
Barley,E06
Plywood,E15
"Crude oil, average",E10
Platinum,E17
"Crude oil, Brent",E20
Palm oil,E13
"Coal, South Africa",E02
"Crude oil, average",E02
"Crude oil, Dubai",E09
Plywood,E10
"Rice, Thailand 25%",E12
"Coffee, Robusta",E04
Maize,E13
"Rubber, RSS3",E19
Phosphate rock,E08
"Crude oil, average",E21
"Rice, Thailand 5%",E12
"Coal, South Africa",E17
"Crude oil, average",E20
"Crude oil, Brent",E07
"Crude oil, Dubai",E15
"Coal, Australia",E03
Maize,E20
DAP,E17
"Crude oil, Brent",E08
"Crude oil, Brent",E15
Cotton,E06
"Crude oil, Dubai",E10
"Crude oil, Brent",E01
Groundnuts,E19
"Rubber, RSS3",E13
"Crude oil, Brent",E10
Barley,E11
"Crude oil, average",E07
"Logs, Africa",E19
"Crude oil, Brent",E02
Iron ore,E04
Lamb,E13
"Rice, Thailand 5%",E13
"Coal, Australia",E17
Phosphate rock,E17
Beef,E05
Plywood,E07
Fish meal,E10
Barley,E05
"Crude oil, Dubai",E21
"Tea, average",E24
"Rice, Thailand A1",E13
"Crude oil, Dubai",E20
"Crude oil, average",E03
Plywood,E08
"Tea, average",E20
Fish meal,E13
Groundnuts,E13
Aluminum,E06
Barley,E13
Coconut oil,E13
"Rice, Thailand A1",E20
"Bananas, U.S.",E04
Copper,E21
Palm oil,E17
Cotton,E19
Plywood,E02
"Coffee, Arabica",E04
Copper,E20
"Bananas, EU",E19
"Crude oil, average",E17
"Rubber, RSS3",E15
"Crude oil, Dubai",E08
"Rice, Thailand A1",E12
"Rubber, RSS3",E01
Maize,E04
Maize,E17
"Crude oil, Dubai",E01
Plywood,E17
"Rubber, RSS3",E10
"Crude oil, Dubai",E03
Cocoa,E19
"Rubber, RSS3",E02
Lamb,E03
"Crude oil, Brent",E03
Cotton,E13
"Crude oil, Dubai",E02
Groundnut oil,E19
"Coffee, Robusta",E06
"Bananas, EU",E13
"Coffee, Arabica",E06
Barley,E08
Copper,E15
Copper,E01
"Coal, South Africa",E06
"Coal, Australia",E09
Aluminum,E08
Aluminum,E15
Cocoa,E06
"Logs, Africa",E15
"Crude oil, Dubai",E17
Copper,E10
"Coffee, Robusta",E24
Aluminum,E01
Iron ore,E19
Copper,E02
Aluminum,E10
"Crude oil, Brent",E17
Gold,E18
"Logs, Africa",E10
Maize,E06
Cocoa,E24
"Crude oil, average",E18
"Logs, S.E. Asia",E10
Barley,E17
"Coal, Australia",E06
Potassium chloride,E08
Platinum,E15
"Bananas, U.S.",E19
"Coal, South Africa",E09
"Crude oil, average",E09
"Coffee, Robusta",E19
"Logs, S.E. Asia",E13
Aluminum,E20
Chicken,E05
"Coffee, Arabica",E19
Cotton,E10
"Coal, Australia",E24
Cotton,E02
Maize,E19
"Coal, South Africa",E08
"Coal, South Africa",E15
Maize,E11
"Crude oil, Dubai",E18
"Bananas, U.S.",E13
Platinum,E21
Lead,E15
"Coffee, Robusta",E13
Maize,E05
"Crude oil, Brent",E18
Potassium chloride,E17
"Coffee, Arabica",E13
"Bananas, EU",E04
Lead,E10
