commodity_name,event_id
"Rice, Thailand 5%",E13
"Coal, South Africa",E01
Copper,E15
Plywood,E17
"Bananas, U.S.",E04
"Crude oil, Dubai",E18
Lead,E01
"Crude oil, Dubai",E20
"Bananas, U.S.",E20
Gold,E18
"Rubber, RSS3",E10
Cocoa,E19
"Bananas, EU",E19
"Coffee, Robusta",E24
Gold,E20
"Crude oil, Dubai",E08
Maize,E11
Potassium chloride,E17
"Tea, average",E24
Barley,E17
Lead,E15
"Crude oil, Brent",E09
Maize,E06
"Coffee, Arabica",E24
"Crude oil, Dubai",E03
Palm oil,E13
"Logs, S.E. Asia",E10
"Logs, Africa",E19
Aluminum,E20
Cotton,E06
"Rubber, RSS3",E02
Copper,E10
DAP,E17
"Coffee, Robusta",E19
Groundnuts,E19
Platinum,E17
"Crude oil, average",E01
Platinum,E15
Cocoa,E13
"Bananas, EU",E13
"Coffee, Arabica",E19
Copper,E21
"Rubber, RSS3",E20
Copper,E02
Lead,E10
"Crude oil, average",E17
Maize,E04
"Crude oil, Brent",E18
"Crude oil, average",E15
Plywood,E15
"Crude oil, Brent",E20
Maize,E20
Cotton,E04
Lamb,E03
"Coffee, Robusta",E13
"Rice, Thailand A1",E12
Groundnuts,E13
"Crude oil, Dubai",E01
"Crude oil, Brent",E08
"Coal, South Africa",E17
Iron ore,E19
"Coal, South Africa",E15
Maize,E08
"Rice, Thailand 25%",E20
Cocoa,E01
Cotton,E20
Copper,E20
Gold,E01
Fish meal,E13
"Crude oil, Brent",E03
"Rice, Thailand 5%",E06
"Rice, Thailand 25%",E12
Groundnut oil,E19
"Coal, Australia",E01
"Coffee, Arabica",E13
"Crude oil, Dubai",E17
"Crude oil, Dubai",E15
Aluminum,E01
"Crude oil, average",E10
Gold,E17
Palm oil,E17
Plywood,E10
"Rice, Thailand A1",E13
Platinum,E21
"Coal, Australia",E17
Platinum,E02
"Bananas, U.S.",E13
"Coal, Australia",E15
"Crude oil, Brent",E07
Palm oil,E11
"Coal, South Africa",E10
"Rice, Thailand 25%",E13
Potassium chloride,E08
Aluminum,E17
Barley,E08
"Coal, South Africa",E06
Barley,E11
Aluminum,E15
Cotton,E07
"Coal, South Africa",E09
Fish meal,E05
Groundnut oil,E13
"Crude oil, average",E21
"Crude oil, average",E02
Barley,E06
"Rubber, RSS3",E01
Maize,E19
"Crude oil, Dubai",E10
DAP,E08
Phosphate rock,E14
"Crude oil, Brent",E01
Coconut oil,E13
Cocoa,E06
Cotton,E19
Platinum,E08
"Coal, Australia",E10
"Tea, average",E13
Cotton,E01
"Coal, Australia",E06
Plywood,E20
"Crude oil, Brent",E17
Copper,E01
Maize,E17
"Crude oil, Brent",E15
"Logs, Africa",E10
"Crude oil, Dubai",E02
Aluminum,E10
"Crude oil, Dubai",E21
"Rubber, RSS3",E13
"Crude oil, average",E08
Iron ore,E15
"Coffee, Robusta",E06
Groundnuts,E06
"Crude oil, average",E09
Maize,E13
Potassium chloride,E20
Barley,E20
Plywood,E03
Palm oil,E08
Chicken,E05
"Coal, South Africa",E08
Fish meal,E10
"Logs, S.E. Asia",E13
Cotton,E13
"Bananas, EU",E04
Aluminum,E21
Aluminum,E02
"Coffee, Arabica",E06
"Coal, South Africa",E03
Beef,E05
Chicken,E17
Potassium chloride,E14
"Crude oil, average",E07
"Crude oil, Brent",E10
Gold,E08
"Crude oil, Dubai",E09
Beef,E02
Platinum,E01
Iron ore,E10
Phosphate rock,E17
Cotton,E10
"Rice, Thailand 5%",E12
"Coal, Australia",E08
"Coffee, Robusta",E04
Maize,E05
DAP,E14
"Crude oil, average",E18
Barley,E13
"Rubber, RSS3",E15
"Coal, Australia",E09
Groundnuts,E20
"Coal, Australia",E03
Aluminum,E08
Fish meal,E04
Groundnut oil,E06
"Crude oil, Brent",E02
Cocoa,E24
"Coffee, Arabica",E04
Aluminum,E06
"Crude oil, Dubai",E07
"Logs, S.E. Asia",E15
"Coal, Australia",E24
