formula_id_a,formula_id_b,label
F001,F001,ENTAILED
F001,F002,NOT_ENTAILED
F001,F003,NOT_ENTAILED
F001,F004,NOT_ENTAILED
F001,F005,NOT_ENTAILED
F001,F006,NOT_ENTAILED
F001,F007,NOT_ENTAILED
F001,F008,NOT_ENTAILED
F001,F009,NOT_ENTAILED
F001,F010,NOT_ENTAILED
F001,F011,NOT_ENTAILED
F001,F012,ENTAILED
F001,F013,NOT_ENTAILED
F001,F014,NOT_ENTAILED
F001,F015,NOT_ENTAILED
F001,F016,NOT_ENTAILED
F001,F017,NOT_ENTAILED
F001,F018,NOT_ENTAILED
F001,F019,NOT_ENTAILED
F001,F020,NOT_ENTAILED
F001,F021,NOT_ENTAILED
F001,F022,NOT_ENTAILED
F001,F023,NOT_ENTAILED
F001,F024,NOT_ENTAILED
F001,F025,NOT_ENTAILED
F001,F026,NOT_ENTAILED
F002,F001,NOT_ENTAILED
F002,F002,ENTAILED
F002,F003,ENTAILED
F002,F004,NOT_ENTAILED
F002,F005,ENTAILED
F002,F006,NOT_ENTAILED
F002,F007,NOT_ENTAILED
F002,F008,NOT_ENTAILED
F002,F009,NOT_ENTAILED
F002,F010,NOT_ENTAILED
F002,F011,ENTAILED
F002,F012,NOT_ENTAILED
F002,F013,NOT_ENTAILED
F002,F014,NOT_ENTAILED
F002,F015,NOT_ENTAILED
F002,F016,NOT_ENTAILED
F002,F017,NOT_ENTAILED
F002,F018,NOT_ENTAILED
F002,F019,NOT_ENTAILED
F002,F020,NOT_ENTAILED
F002,F021,ENTAILED
F002,F022,NOT_ENTAILED
F002,F023,ENTAILED
F002,F024,NOT_ENTAILED
F002,F025,NOT_ENTAILED
F002,F026,ENTAILED
F003,F001,NOT_ENTAILED
F003,F002,NOT_ENTAILED
F003,F003,ENTAILED
F003,F004,NOT_ENTAILED
F003,F005,NOT_ENTAILED
F003,F006,NOT_ENTAILED
F003,F007,NOT_ENTAILED
F003,F008,NOT_ENTAILED
F003,F009,NOT_ENTAILED
F003,F010,NOT_ENTAILED
