formula_id,formula,statement_ids
F001,P → Q,S001;S007;S010;S014;S031;S035;S043;S051;S056;S063;S071;S073;S074;S076;S077;S078;S079;S084;S085;S086;S088;S089;S094;S095;S097;S100;S008;S016;S017;S019;S049;S060;S061
F002,(P ∨ Q) ∧ ¬(P ∧ Q),S002;S057
F003,P → ¬Q,S003;S011;S013;S026;S055;S090;S096;S034;S062
F004,P ∧ Q ∧ R,S009;S023
F005,P ∨ Q,S012;S033;S059;S075;S087;S098
F006,((P ∨ Q) ∧ ¬(P ∧ Q)) → (P ∨ R),S015
F007,P ↔ Q,S004;S020
F008,P ∧ Q,S022;S024;S039;S054;S072;S082;S091;S021;S065
F009,P,S025;S027;S030;S032;S036;S042;S044;S045;S047;S048;S050;S068;S081;S083;S093;S040
F010,¬P,S029;S080
F011,(P ∧ Q) → R,S046
F012,(P ∧ ¬Q) → R,S052
F013,¬((P ∨ Q) ∧ ¬(P ∧ Q)),S058
F014,¬(P ∧ Q) → P,S064
F015,P → ((Q ∨ R) ∧ ¬(Q ∧ R)),S066
F016,P → (Q ∧ R),S069
F017,¬P → ¬Q,S070;S099
F018,P ∧ ¬Q,S092
F019,P ∧ Q ∧ R ∧ S,S006
F020,¬(P ∧ Q) → (P ↔ Q),S005
F021,(P ∧ Q ∧ R) → S,S028;S037
F022,P → (Q ∧ R ∧ S),S018
F023,(P ∧ Q ∧ R ∧ S ∧ T) → U,S038
F024,¬P ∧ ¬Q,S041
F025,(P ∧ (Q ∨ R)) → S,S053
F026,(P ∧ Q ∧ R) → ¬S,S067
