formula_id,statement_id
F001,S001
F001,S007
F001,S008
F001,S010
F001,S014
F001,S016
F001,S017
F001,S019
F001,S031
F001,S035
F001,S043
F001,S049
F001,S051
F001,S056
F001,S060
F001,S061
F001,S063
F001,S071
F001,S073
F001,S074
F001,S076
F001,S077
F001,S078
F001,S079
F001,S084
F001,S085
F001,S086
F001,S088
F001,S089
F001,S094
F001,S095
F001,S097
F001,S100
F002,S002
F002,S057
F003,S003
F003,S011
F003,S013
F003,S026
F003,S034
F003,S055
F003,S062
F003,S090
F003,S096
F004,S009
F004,S023
F005,S012
F005,S033
F005,S059
F005,S075
F005,S087
F005,S098
F006,S015
F007,S004
F007,S020
F008,S021
F008,S022
F008,S024
F008,S039
F008,S054
F008,S065
F008,S072
F008,S082
F008,S091
F009,S025
F009,S027
F009,S030
F009,S032
F009,S036
F009,S040
F009,S042
F009,S044
F009,S045
F009,S047
F009,S048
F009,S050
F009,S068
F009,S081
F009,S083
F009,S093
F010,S029
F010,S080
F011,S046
F012,S052
F013,S058
F014,S064
F015,S066
F016,S069
F017,S070
F017,S099
F018,S092
F019,S006
F020,S005
F021,S028
F021,S037
F022,S018
F023,S038
F024,S041
F025,S053
F026,S067
