formula_id,statement_id
F008,S051
F008,S039
F008,S024
F008,S091
F008,S022
F005,S087
F005,S012
F005,S002
F005,S057
F005,S098
F005,S075
F005,S033
F020,S005
F016,S060
F003,S062
F003,S011
F003,S096
F003,S034
F003,S090
F003,S055
F003,S003
F018,S034
F013,S058
F001,S079
F001,S014
F001,S010
F001,S089
F001,S088
F001,S071
F001,S097
F001,S094
F001,S084
F001,S051
F001,S063
F001,S077
F001,S085
F001,S086
F001,S007
F001,S001
F001,S100
F001,S073
F001,S056
F001,S061
F026,S067
F012,S052
F011,S046
F024,S034
F007,S004
F007,S039
F007,S058
F017,S070
F017,S099
F009,S065
F009,S050
F009,S068
F009,S051
F009,S030
F009,S027
F009,S044
F009,S081
F009,S036
F009,S083
F009,S042
F009,S019
F010,S080
