formula_id,statement_id
F003,S090
F005,S098
F018,S026
F007,S058
F012,S052
F017,S070
F010,S029
F001,S056
F009,S027
F020,S005
F002,S057
F001,S078
F003,S013
F005,S057
F005,S002
F019,S018
F017,S099
F010,S080
F001,S077
F009,S050
F008,S051
F001,S097
F003,S026
F005,S012
F001,S051
F003,S011
F005,S087
F014,S064
F001,S076
F007,S004
F009,S030
F008,S054
F001,S086
F003,S062
F005,S033
F001,S089
F003,S055
F005,S075
F018,S092
F001,S007
F016,S060
F001,S084
F008,S091
F003,S096
F005,S039
F001,S001
F003,S003
F005,S059
F018,S034
F011,S046
F008,S039
F001,S088
F009,S040
F001,S079
