formula_id,statement_id
F008,S008
F008,S065
F014,S040
F005,S057
F003,S013
F008,S054
F009,S047
F001,S097
F018,S092
F019,S006
F003,S090
F010,S080
F007,S004
F021,S037
F017,S070
F009,S025
F019,S018
F001,S100
F001,S031
F013,S020
F001,S094
F016,S060
F001,S063
F005,S075
F001,S079
F009,S044
F018,S026
F014,S064
F001,S076
F016,S069
F009,S045
F003,S003
F001,S061
F001,S088
F001,S007
F014,S032
F017,S099
F009,S093
F009,S050
F021,S028
F013,S004
F026,S067
F003,S026
F005,S033
F023,S038
F008,S091
F009,S048
F007,S058
F003,S055
F009,S036
F013,S058
F001,S084
F001,S035
F001,S089
F003,S062
F005,S059
F022,S018
F001,S051
F003,S011
F005,S087
F009,S027
F015,S066
F014,S036
F005,S002
F011,S046
F001,S073
F025,S053
F001,S043
F008,S072
F009,S083
F001,S074
F012,S052
F004,S009
F009,S081
F001,S001
F024,S041
F004,S023
F008,S022
F009,S030
F005,S012
F001,S085
F009,S068
F008,S039
F001,S078
F001,S056
F005,S098
F009,S040
F001,S086
F008,S082
F008,S024
F001,S010
F007,S020
F009,S032
F001,S077
F018,S034
F003,S096
F010,S029
F001,S071
F001,S014
F009,S042
