statement_id_a,statement_id_b
S008,S082
S004,S100
S029,S074
S010,S089
S024,S078
S005,S095
S014,S079
S007,S085
S024,S082
S020,S076
S014,S086
S014,S084
S009,S077
S008,S098
S021,S082
S006,S079
S024,S093
S001,S079
S022,S095
S006,S084
S008,S077
S029,S079
S014,S089
S024,S098
S023,S078
S008,S094
S001,S084
S013,S096
S021,S093
S022,S082
S004,S095
S029,S084
S023,S082
S021,S098
S024,S094
S024,S083
S030,S093
S022,S087
S013,S090
S006,S089
S025,S093
S014,S100
S001,S089
S023,S093
S030,S098
S017,S097
S006,S091
S029,S089
S019,S091
S025,S098
S021,S083
S024,S085
S010,S095
S023,S098
S006,S081
S006,S100
S030,S083
S016,S098
S018,S079
S001,S100
S022,S077
S025,S083
S008,S075
S020,S084
S023,S094
S009,S091
S029,S100
S017,S093
S018,S084
S002,S098
S004,S077
S016,S094
S024,S075
S009,S081
S007,S088
S023,S085
S014,S095
S020,S089
S018,S089
S016,S085
S021,S075
S017,S083
S003,S090
S011,S090
S027,S087
S010,S077
S007,S073
S007,S097
S030,S075
S006,S095
S019,S097
S019,S078
S001,S095
S020,S100
S017,S085
S018,S100
S023,S075
S029,S095
S006,S082
S017,S074
S016,S075
S006,S087
S009,S078
S002,S075
S019,S093
S014,S077
S022,S091
S009,S082
S024,S088
S019,S098
S008,S073
S008,S097
S007,S076
S012,S098
S006,S077
S009,S093
S017,S079
S020,S095
S001,S077
S024,S099
S019,S094
S024,S073
S019,S083
S018,S095
S024,S097
S029,S077
S009,S098
S005,S078
S008,S093
S023,S088
S007,S074
S009,S094
S018,S087
S009,S083
S030,S099
S017,S089
S025,S099
S022,S073
S023,S099
S023,S073
S022,S097
S009,S085
S022,S078
S023,S097
S008,S083
S019,S075
S020,S077
S004,S078
S016,S097
S027,S081
S024,S076
S012,S075
S026,S090
S008,S085
S007,S079
S017,S099
S022,S093
S007,S086
S021,S076
S008,S074
S019,S086
S007,S084
S009,S075
S010,S073
S022,S098
S010,S097
S010,S078
S005,S085
S024,S074
S025,S087
S023,S076
S022,S094
S009,S086
S007,S089
S022,S083
S023,S083
S016,S076
S004,S094
S003,S096
S011,S096
S022,S085
S008,S086
S014,S078
S007,S100
S022,S074
S004,S085
S023,S074
S017,S087
S024,S079
S018,S091
S024,S086
S010,S094
S006,S073
S027,S093
S024,S084
S019,S073
S001,S073
S006,S097
S009,S088
S006,S078
S001,S097
S021,S079
S008,S089
S018,S081
S001,S078
S022,S075
S027,S098
S029,S097
S029,S078
S010,S085
S009,S099
S009,S073
S024,S089
S010,S074
S008,S088
S009,S097
S023,S079
S022,S086
S008,S100
S006,S093
S007,S095
S023,S086
S014,S094
S023,S084
S006,S098
S016,S086
S008,S099
S005,S088
S024,S100
S020,S073
S014,S085
S006,S094
S006,S083
S020,S078
S023,S089
S001,S094
S005,S099
S005,S073
S029,S094
S005,S097
S010,S086
S018,S082
S022,S088
S025,S081
S006,S085
S027,S075
S009,S076
S001,S085
S006,S074
S023,S100
S019,S074
S029,S085
S004,S088
S007,S077
S001,S074
S016,S100
S022,S099
S024,S095
S008,S076
S018,S098
S026,S096
S008,S087
S004,S099
S004,S073
S006,S075
S009,S074
S017,S081
S004,S097
S020,S094
S021,S095
S010,S088
S018,S094
S018,S083
S005,S076
S024,S087
S010,S100
S029,S096
S006,S086
S020,S085
S001,S086
S023,S095
S021,S087
S020,S074
S029,S086
S029,S090
S016,S095
S030,S087
S022,S076
S005,S074
S009,S079
S024,S077
S014,S088
S023,S087
S019,S089
S009,S084
S004,S076
S027,S099
S021,S077
S016,S087
S018,S075
S008,S079
S014,S073
S017,S082
S006,S088
S014,S097
S002,S087
S001,S088
S008,S084
S009,S089
S029,S088
S020,S086
S023,S077
S010,S076
S018,S086
S004,S074
S006,S099
S005,S086
S016,S077
S005,S084
S017,S098
S029,S073
S009,S100
S008,S091
S017,S094
S022,S079
S005,S089
S027,S083
S008,S081
S014,S076
S024,S091
S020,S088
S022,S084
S007,S078
S004,S079
S018,S088
S025,S075
S004,S086
S024,S081
S004,S084
S019,S082
S005,S100
S020,S099
S029,S080
S001,S076
S018,S099
S018,S073
S022,S089
S019,S087
S021,S081
S029,S076
S014,S074
S010,S079
S012,S087
S004,S089
S023,S091
S030,S081
S017,S075
S010,S084
S022,S081
S023,S081
S008,S095
S022,S100
S009,S087
S008,S078
S007,S094
S019,S077
