statement_id_a,statement_id_b
S020,S099
S023,S086
S022,S100
S004,S100
S013,S096
S014,S078
S008,S095
S022,S089
S004,S089
S008,S073
S018,S093
S024,S084
S005,S095
S005,S088
S007,S095
S005,S073
S007,S088
S007,S073
S007,S074
S023,S079
S014,S086
S009,S088
S009,S073
S010,S077
S006,S084
S022,S093
S017,S082
S017,S099
S020,S100
S018,S097
S021,S079
S004,S077
S008,S078
S001,S094
S023,S087
S020,S089
S018,S085
S010,S097
S024,S095
S029,S097
S024,S088
S024,S073
S023,S075
S021,S087
S010,S085
S014,S079
S009,S078
S023,S084
S029,S085
S008,S086
S010,S076
S029,S094
S018,S081
S001,S078
S021,S075
S005,S086
S006,S095
S007,S086
S004,S076
S006,S088
S025,S099
S020,S077
S026,S090
S009,S086
S016,S087
S024,S078
S001,S082
S022,S095
S022,S088
S022,S073
S022,S074
S022,S098
S004,S074
S008,S079
S018,S083
S016,S075
S017,S075
S005,S079
S007,S079
S024,S086
S023,S094
S008,S087
S009,S079
S003,S090
S016,S077
S017,S077
S008,S075
S025,S087
S009,S087
S027,S087
S025,S075
S014,S097
S005,S084
S002,S087
S007,S084
S019,S086
S011,S090
S018,S100
S024,S079
S022,S086
S009,S075
S027,S075
S016,S097
S014,S094
S018,S089
S021,S078
S002,S075
S010,S100
S016,S085
S017,S085
S017,S091
S023,S082
S023,S099
S024,S087
S010,S089
S013,S090
S006,S079
S029,S089
S021,S082
S024,S075
S008,S097
S017,S081
S001,S077
S022,S079
S006,S087
S008,S094
S005,S094
S006,S075
S009,S097
S007,S094
S019,S087
S012,S087
S029,S077
S001,S097
S008,S081
S009,S085
S009,S094
S019,S075
S017,S083
S001,S085
S012,S075
S001,S076
S025,S081
S022,S084
S004,S084
S005,S078
S007,S078
S006,S077
S024,S097
S009,S081
S008,S082
S008,S099
S024,S094
S008,S083
S029,S076
S018,S095
S030,S087
S018,S074
S018,S098
S005,S099
S006,S097
S023,S093
S025,S083
S010,S095
S010,S088
S030,S075
S010,S073
S023,S077
S006,S085
S009,S082
S010,S074
S017,S100
S009,S099
S027,S099
S006,S094
S029,S074
S009,S083
S019,S097
S021,S093
S020,S084
S004,S095
S016,S089
S017,S089
S004,S088
S004,S073
S021,S077
S029,S096
S022,S094
S006,S081
S023,S097
S024,S082
S008,S100
S024,S099
S023,S085
S023,S091
S019,S081
S014,S077
S023,S076
S017,S093
S008,S089
S018,S086
S022,S078
S004,S078
S021,S085
S020,S095
S006,S082
S021,S076
S009,S100
S006,S099
S023,S081
S006,S083
S010,S086
S001,S100
S009,S089
S019,S099
S008,S093
S001,S089
S021,S081
S014,S085
S004,S086
S022,S099
S003,S096
S014,S076
S008,S077
S025,S093
S016,S091
S030,S081
S018,S079
S016,S076
S005,S077
S007,S077
S023,S083
S009,S093
S027,S093
S020,S078
S010,S079
S014,S074
S009,S077
S016,S095
S018,S087
S021,S083
S017,S073
S006,S100
S017,S074
S017,S098
S004,S079
S005,S097
S008,S091
S007,S097
S006,S089
S008,S076
S030,S099
S020,S086
S030,S083
S018,S075
S005,S085
S024,S093
S018,S084
S007,S085
S005,S076
S007,S076
S022,S087
S024,S077
S009,S091
S010,S084
S008,S098
S009,S076
S029,S084
S023,S100
S022,S075
S006,S093
S023,S089
S025,S098
S020,S079
S021,S100
S027,S081
S019,S093
S009,S074
S009,S098
S027,S098
S001,S095
S001,S088
S024,S085
S001,S073
S024,S091
S019,S077
S002,S098
S001,S074
S024,S076
S022,S077
S029,S080
S014,S100
S029,S095
S024,S081
S014,S089
S029,S088
S020,S075
S006,S091
S029,S073
S024,S074
S024,S098
S027,S083
S006,S076
S010,S094
S022,S097
S004,S097
S029,S090
S019,S091
S016,S079
S017,S079
S030,S093
S022,S085
S004,S085
S022,S091
S004,S094
S022,S076
S018,S078
S006,S073
S006,S074
S006,S098
S024,S083
S010,S078
S026,S096
S029,S078
S017,S087
S019,S098
S001,S086
S022,S081
S005,S100
S007,S100
S012,S098
S018,S082
S014,S084
S005,S089
S007,S089
S020,S097
S023,S095
S023,S088
S023,S073
S023,S074
S023,S098
S029,S086
S019,S083
S022,S082
S021,S088
S004,S099
S022,S083
S021,S098
S001,S079
S024,S100
S006,S086
S008,S084
S030,S098
S014,S095
S024,S089
S014,S088
S014,S073
S029,S079
S011,S096
S009,S084
S017,S094
S001,S084
