claim_id,doc_id
49,5953485
127,21598000
133,16280642
54,49556906
5,13734012
50,12580014
48,13734012
133,12640810
133,6969753
133,17934082
133,38485364
51,45638119
53,45638119
118,6372244
70,5956380
75,4387784
57,4709641
42,18174210
56,4709641
99,18810195
129,27768226
124,4883040
130,27768226
113,6157837
100,4381486
72,6076903
36,11705328
70,18810195
70,4414547
36,5152028
133,18810195
132,7975937
133,6076903
100,106301
49,153744
100,104130
49,164189
100,18670
70,7975937
54,123859
100,45638119
94,1215116
51,33370
50,7975937
133,116792
56,18810195
3,14717500
